"filename", "language", "Python", "Batch", "PowerShell", "Properties", "JSON", "XML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Dev\CirclePlan\static\admin\img\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\selector-icons.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Dev\CirclePlan\static\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Dev\CirclePlan\static\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 5, 1, 111
"c:\Dev\CirclePlan\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 27, 20, 237
"c:\Dev\CirclePlan\static\admin\js\actions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 6, 2, 155
"c:\Dev\CirclePlan\static\admin\js\actions.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Dev\CirclePlan\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 325, 0, 0, 66, 27, 418
"c:\Dev\CirclePlan\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 7, 12, 160
"c:\Dev\CirclePlan\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 4, 39
"c:\Dev\CirclePlan\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 28, 16, 208
"c:\Dev\CirclePlan\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 3, 29
"c:\Dev\CirclePlan\static\admin\js\change_form.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 1, 17
"c:\Dev\CirclePlan\static\admin\js\collapse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 1, 44
"c:\Dev\CirclePlan\static\admin\js\collapse.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Dev\CirclePlan\static\admin\js\core.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 19, 15, 164
"c:\Dev\CirclePlan\static\admin\js\inlines.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 59, 27, 349
"c:\Dev\CirclePlan\static\admin\js\inlines.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Dev\CirclePlan\static\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 1, 9
"c:\Dev\CirclePlan\static\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"c:\Dev\CirclePlan\static\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
